Date, Open, High, Low, Close
09/22/16, 18343.76, 18449.88, 18343.76, 18392.46
09/21/16, 18164.96, 18307.43, 18121.57, 18293.70
09/20/16, 18175.36, 18227.21, 18128.80, 18129.96
09/19/16, 18154.82, 18254.88, 18093.05, 18120.17
09/16/16, 18217.21, 18217.21, 18070.21, 18123.80
09/15/16, 18024.91, 18250.11, 18015.49, 18212.48
09/14/16, 18073.39, 18163.48, 17992.21, 18034.77
09/13/16, 18262.99, 18262.99, 18028.06, 18066.75
09/12/16, 18028.95, 18358.69, 17994.84, 18325.07
09/09/16, 18404.17, 18404.17, 18085.45, 18085.45
09/08/16, 18486.69, 18506.24, 18446.69, 18479.91
09/07/16, 18527.71, 18536.89, 18474.77, 18526.14
09/06/16, 18493.40, 18551.54, 18450.32, 18538.12
09/02/16, 18466.01, 18544.76, 18439.10, 18491.96
09/01/16, 18396.57, 18430.05, 18295.48, 18419.30
08/31/16, 18436.70, 18439.68, 18333.56, 18400.88
08/30/16, 18491.28, 18514.29, 18408.52, 18454.30
08/29/16, 18421.29, 18523.09, 18419.92, 18502.99
08/26/16, 18467.92, 18572.09, 18335.34, 18395.40
08/25/16, 18471.21, 18497.68, 18431.46, 18448.41
08/24/16, 18537.50, 18539.15, 18448.27, 18481.48
08/23/16, 18568.94, 18631.60, 18545.52, 18547.30
08/22/16, 18535.86, 18570.92, 18466.86, 18529.42
08/19/16, 18585.17, 18585.17, 18491.24, 18552.57
08/18/16, 18566.54, 18600.82, 18533.29, 18597.70
08/17/16, 18537.09, 18582.35, 18468.68, 18573.94
08/16/16, 18614.48, 18614.86, 18550.65, 18552.02
08/15/16, 18588.59, 18668.44, 18588.59, 18636.05
08/12/16, 18595.65, 18606.06, 18535.86, 18576.47
08/11/16, 18519.08, 18638.34, 18519.08, 18613.52
08/10/16, 18541.48, 18561.75, 18468.78, 18495.66
08/09/16, 18538.05, 18585.32, 18507.75, 18533.05
08/08/16, 18540.65, 18569.31, 18502.03, 18529.29
08/05/16, 18402.80, 18543.53, 18402.80, 18543.53
08/04/16, 18351.43, 18397.87, 18325.17, 18352.05
08/03/16, 18313.08, 18355.00, 18283.23, 18355.00
08/02/16, 18401.15, 18403.65, 18247.79, 18313.77
08/01/16, 18434.50, 18467.03, 18355.75, 18404.51
07/29/16, 18442.52, 18466.55, 18371.12, 18432.24
07/28/16, 18461.01, 18483.26, 18368.82, 18456.35
07/27/16, 18473.27, 18542.39, 18430.94, 18472.17
07/26/16, 18497.37, 18522.47, 18387.22, 18473.75
07/25/16, 18554.49, 18555.69, 18452.62, 18493.06
07/22/16, 18524.15, 18571.30, 18491.59, 18570.85
07/21/16, 18589.96, 18590.44, 18469.67, 18517.23
07/20/16, 18582.70, 18622.01, 18555.65, 18595.03
07/19/16, 18503.12, 18562.53, 18495.11, 18559.01
07/18/16, 18521.55, 18556.13, 18489.84, 18533.05
07/15/16, 18508.88, 18557.43, 18471.62, 18516.55
07/14/16, 18414.30, 18537.57, 18414.30, 18506.41
07/13/16, 18356.78, 18390.16, 18315.76, 18372.12
07/12/16, 18259.12, 18371.95, 18259.12, 18347.67
07/11/16, 18161.53, 18283.90, 18161.53, 18226.93
07/08/16, 17971.22, 18166.77, 17971.22, 18146.74
07/07/16, 17924.24, 17984.95, 17816.65, 17895.88
07/06/16, 17807.47, 17926.91, 17713.45, 17918.62
07/05/16, 17904.45, 17904.45, 17785.28, 17840.62
07/01/16, 17924.24, 18002.38, 17916.91, 17949.37
06/30/16, 17712.76, 17930.61, 17711.80, 17929.99
06/29/16, 17456.02, 17704.51, 17456.02, 17694.68
06/28/16, 17190.51, 17409.72, 17190.51, 17409.72
06/27/16, 17355.21, 17355.21, 17063.08, 17140.24
06/24/16, 17946.63, 17946.63, 17356.34, 17400.75
06/23/16, 17844.11, 18011.07, 17844.11, 18011.07
06/22/16, 17832.67, 17920.16, 17770.36, 17780.83
06/21/16, 17827.33, 17877.84, 17799.80, 17829.73
06/20/16, 17736.87, 17946.36, 17736.87, 17804.87
06/17/16, 17733.44, 17733.44, 17602.78, 17675.16
06/16/16, 17602.23, 17754.91, 17471.29, 17733.10
06/15/16, 17703.65, 17762.96, 17629.01, 17640.17
